UF;SIM;SIVEP;DiferencaPercentual
MT;13873;8204;69.10
ES;11374;7368;54.37
MA;13237;8924;48.33
AP;2237;1633;36.99
AC;2201;1630;35.03
PE;24375;18613;30.96
PI;7509;5990;25.36
RN;8452;6779;24.68
BA;28791;23461;22.72
AL;7843;6417;22.22
RR;2084;1715;21.52
PR;42493;35897;18.37
RO;6879;6074;13.25
CE;28369;25278;12.23
RJ;74515;68185;9.28
PA;19164;17591;8.94
GO;26276;24825;5.84
TO;3978;3777;5.32
PB;9965;9490;5.01
MG;59617;57389;3.88
SP;160259;155278;3.21
AM;14543;14210;2.34
SC;20417;20170;1.22
RS;36655;36365;0.80
SE;6049;6003;0.77
MS;9257;9737;-4.93
DF;8882;10324;-13.97
